Scenario,River,Nodes and Reaches,Year,Week,Streamflow[Cubic Meter]
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2003,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2004,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2005,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2006,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,1,0
