Timestamp,Year,Wk,Conversion,PT1,PT2,AdicionalEmbalse,Acueducto Laguna Negra,Acueducto El Yeso,Filtraciones,Threshold,Extraccion Laguna Negra,Estacionalidad,DP,Discount rate factor,0.09
01-04-2004,2004,14,0.6048,9.201336304,0.414109281,0,1.2096,2.4192,0.3024,60.48,0.314496,0.832,0,0,0.001658637
02-04-2004,2004,15,0.6048,9.091455341,0.428226643,0,1.2096,2.4192,0.3024,60.48,0.314496,0.811,0,0,0.001658637
03-04-2004,2004,16,0.6048,8.981574378,0.441133946,0,1.2096,2.4192,0.3024,60.48,0.314496,0.786,0,0,0.001658637
04-04-2004,2004,17,0.6048,8.876470848,0.414512635,0,1.2096,2.4192,0.3024,60.48,0.314496,0.788,0,0,0.001658637
05-04-2004,2004,18,0.6048,8.771367318,0.334110898,0,1.2096,2.4192,0.3024,60.48,0.314496,0.752,0,0,0.001658637
06-04-2004,2004,19,0.6048,8.675818654,0.268498778,0,1.2096,2.4192,0.3024,60.48,0.314496,0.773,0,0,0.001658637
07-04-2004,2004,20,0.6048,8.585047424,0.087527644,0,1.2096,2.4192,0.3024,60.48,0.314496,0.717,0,0,0.001658637
08-04-2004,2004,21,0.6048,8.50383106,0.038453005,0,1.2096,2.4192,0.3024,60.48,0.314496,0.736,0,0,0.001658637
09-04-2004,2004,22,0.6048,8.422614696,0.054856035,0,1.2096,2.4192,0.3024,60.48,0.314496,0.742,0,0,0.001658637
10-04-2004,2004,23,0.6048,8.350953198,0.127325159,1,1.2096,2.4192,0.3024,60.48,0.314496,0.822,0,0,0.001658637
11-04-2004,2004,24,0.6048,8.288846567,0.1513919,1,1.2096,2.4192,0.3024,60.48,0.314496,0.79,0,0,0.001658637
12-04-2004,2004,25,0.6048,8.231517369,0.179492172,1,1.2096,2.4192,0.3024,60.48,0.314496,0.805,0,0,0.001658637
13-04-2004,2004,26,0.6048,8.183743037,0.078788324,1,1.2096,2.4192,0.3024,60.48,0.314496,0.862,0,0,0.001658637
14-04-2004,2004,27,0.6048,8.145523571,0.044637754,1,1.2096,2.4192,0.3024,60.48,0.314496,0.81,0,0,0.001658637
15-04-2004,2004,28,0.6048,8.112081539,0.050553601,1,1.2096,2.4192,0.3024,60.48,0.314496,0.816,0,0,0.001658637
16-04-2004,2004,29,0.6048,8.092971806,0.235692718,1,1.2096,2.4192,0.3024,60.48,0.314496,0.81,0,0,0.001658637
17-04-2004,2004,30,0.6048,8.078639507,0.118989193,1,1.2096,2.4192,0.3024,60.48,0.314496,0.835,0,0,0.001658637
18-04-2004,2004,31,0.6048,8.078639507,0.117779133,1,1.2096,2.4192,0.3024,60.48,0.314496,0.822,0,0,0.001658637
19-04-2004,2004,32,0.6048,8.088194373,0.13122424,1,1.2096,2.4192,0.3024,60.48,0.314496,0.831,0,0,0.001658637
20-04-2004,2004,33,0.6048,8.112081539,0.134451065,1,1.2096,2.4192,0.3024,60.48,0.314496,0.874,0,0,0.001658637
21-04-2004,2004,34,0.6048,8.140746138,0.188634845,1,1.2096,2.4192,0.3024,60.48,0.314496,0.833,0,0,0.001658637
22-04-2004,2004,35,0.6048,8.18852047,0.220230845,1,1.2096,2.4192,0.3024,60.48,0.314496,0.906,0,0,0.001658637
