Timestamp,RCP_45_Pp_5_Temp_95,RCP_45_Pp_25_Temp_75,RCP_45_Pp_50_Temp_50,RCP_45_Pp_75_Temp_25,RCP_45_Pp_95_Temp_5,RCP_60_Pp_5_Temp_95,RCP_60_Pp_25_Temp_75,RCP_60_Pp_50_Temp_50,RCP_60_Pp_75_Temp_25,RCP_60_Pp_95_Temp_5,RCP_85_Pp_5_Temp_95,RCP_85_Pp_25_Temp_75,RCP_85_Pp_50_Temp_50,RCP_85_Pp_75_Temp_25,RCP_85_Pp_95_Temp_5
01-04-2004,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016,3.07946016
02-04-2004,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256,2.7500256
03-04-2004,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648,2.5029648
04-04-2004,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544,2.56604544
05-04-2004,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288,3.3678288
06-04-2004,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112,2.75450112
07-04-2004,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656,2.36458656
08-04-2004,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152,2.11069152
09-04-2004,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432,2.18538432
10-04-2004,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472,2.02541472
