Timestamp,Semana,,PT1antes,PT1,PT2antes,PT2,AdicionalEmbalse,Estacionalidad,Derechos sobrantes,Acueducto Laguna Negra,Acueducto El Yeso,Extraccion Laguna Negra,Filtraciones,Threshold,O1,O2,O3,O4,O5,O6,Invierno/Verano
30-11-1986,1,0,9.201336304,9.201336304,0.414109281,0.414109281,0,0.832,0.224701814,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
01-12-1986,2,0,9.091455341,9.091455341,0.428226643,0.428226643,0,0.811,0.222189245,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
02-12-1986,3,0,8.981574378,8.981574378,0.441133946,0.441133946,0,0.786,0.222419983,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
03-12-1986,4,0,8.876470848,8.876470848,0.414512635,0.414512635,0,0.788,0.219666814,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
04-12-1986,5,0,8.771367318,8.771367318,0.334110898,0.334110898,0,0.752,0.225235352,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
05-12-1986,6,0,8.675818654,8.675818654,0.268498778,0.268498778,0,0.773,0.226364941,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
06-12-1986,7,0,8.585047424,8.585047424,0.087527644,0.087527644,0,0.717,0.231886352,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
07-12-1986,8,0,8.50383106,8.50383106,0.038453005,0.038453005,0,0.736,0.233935734,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
08-12-1986,9,0,8.422614696,8.422614696,0.054856035,0.054856035,0,0.742,0.233338649,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
09-12-1986,10,0,8.350953198,8.350953198,0.127325159,0.127325159,1,0.822,0.231909567,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
10-12-1986,11,0,8.288846567,8.288846567,0.1513919,0.1513919,1,0.79,0.230528527,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
11-12-1986,12,0,8.231517369,8.231517369,0.179492172,0.179492172,1,0.805,0.231143557,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
12-12-1986,13,0,8.183743037,8.183743037,0.078788324,0.078788324,1,0.862,0.232821694,1.2096,2.4192,0.314496,0.3024,60.48,0,0,0,0,0,0,1
13-12-1986,14,0,8.145523571,8.145523571,0.044637754,0.044637754,1,0.81,0.234164612,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
14-12-1986,15,0,8.112081539,8.112081539,0.050553601,0.050553601,1,0.816,0.23387432,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
15-12-1986,16,0,8.092971806,8.092971806,0.235692718,0.235692718,1,0.81,0.226091734,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
16-12-1986,17,0,8.078639507,8.078639507,0.118989193,0.118989193,1,0.835,0.230475508,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
17-12-1986,18,0,8.078639507,8.078639507,0.117779133,0.117779133,1,0.822,0.230711639,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
18-12-1986,19,0,8.088194373,8.088194373,0.13122424,0.13122424,1,0.831,0.22982996,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
19-12-1986,20,0,8.112081539,8.112081539,0.134451065,0.134451065,1,0.874,0.229927734,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
20-12-1986,21,0,8.140746138,8.140746138,0.188634845,0.188634845,1,0.833,0.227085305,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
21-12-1986,22,0,8.18852047,8.18852047,0.220230845,0.220230845,1,0.906,0.226876795,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
22-12-1986,23,0,8.245849668,8.245849668,0.194012887,0.194012887,1,0.889,0.22837873,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
23-12-1986,24,0,8.317511166,8.317511166,0.203558913,0.203558913,1,0.85,0.227755116,1.2096,2.4192,0.314496,0.3024,60.48,0,1,1,0,1,0,0
